x,y,z
-0.32104298,-0.135908,0.216977
0.719251,0.521367,1.1494839
-1.9986039,0.45786598,1.9108859
0.168543,-0.15286599,1.9986039
0.54393697,0.172081,0.684237
1.466013,-0.733037,1.409832
-0.198433,-0.02379,0.90828997
0.374113,-0.103639,-0.157746
0.549854,-0.20941299,0.595177
1.697874,-0.494222,1.857572
-1.9986039,-0.605791,1.9986039
0.116022,0.382531,1.9986039
-0.120657995,0.020678999,0.052520998
0.086986,0.056608,-0.22569999
0.488488,-0.155672,0.646905
1.784799,-0.895785,1.9986039
-0.167506,-0.357399,1.705987
0.270718,0.034465,0.491965
0.090585,0.21380499,-0.021838
-0.319091,-0.071126,0.020678999
0.531371,0.14274,1.029436
-0.22874999,-1.590819,1.672681
-0.025376,0.517585,1.682197
-0.021228,-0.025070999,-0.385093
-0.26705799,-0.065453,0.038247
0.377773,-0.039711,0.737978
0.860039,-0.721691,1.488644
-1.9986039,1.440698,1.9986039
0.005612,-0.627568,1.710684
-0.012444,0.057645,0.063318
-0.202337,-0.032635,0.209657
0.348249,0.396988,1.2318339
-1.9986039,0.293288,1.9986039
-0.183549,0.063257,0.071614
0.40796798,-0.22075899,0.24156
1.108858,0.346541,1.471869
-1.6906149,1.334741,1.9986039
0.162016,0.30164498,1.582096
-0.970876,-0.356911,-1.792241
0.113643,-0.17848599,0.803553
-1.670607,-0.208437,0.60634
-0.048861,-0.048616998,1.231529
-0.11651,1.296189,1.9986039
0.61183,0.620126,0.47140798
0.365634,0.30256,0.75987697
0.660752,-0.327631,0.7198
-0.777506,0.17141,0.52252597
-0.935862,-0.752618,0.874069
-0.702659,-0.115717,1.9986039
-0.101687,0.451888,0.56595796
0.19800599,0.035258,-0.23302
1.390007,-0.301889,1.374635
0.584929,-0.211548,0.258579
-0.515572,-0.0244,-0.340868
-0.411262,0.383202,0.06832
0.82874596,0.027206,1.171749
-0.678808,0.55168396,1.9986039
0.389729,-1.065792,1.667679
0.029889999,0.405284,-0.138836
0.906887,-0.550281,1.9986039
-1.61711,-0.259189,1.9986039
0.41303098,0.589199,1.4510679
0.946293,-0.447069,0.290543
0.31781,0.029950999,0.167445
0.204594,-0.347944,0.190015
-1.3606659,1.150582,0.764025
-0.467626,0.94086397,1.00772
-0.260714,-1.982378,1.915278
1.0599359,-0.71467596,1.9986039
-1.814384,0.136091,1.9986039
0.28602898,-0.302438,1.548363
1.458022,0.065147996,0.92658997
0.064843,0.084058,0.445849
-0.41358,0.27889198,-0.264862
1.2177429,-0.938546,1.9986039
-0.71187,-0.325496,1.9986039
0.38484898,-0.99826497,0.84064096
0.438956,-0.519537,0.674782
-0.159088,-0.022997,-0.196115
-0.23997399,-0.473177,0.146156
-0.836371,0.196054,0.32982698
-1.4055619,0.287981,0.723521
0.060999997,0.946781,1.9986039
-0.56089497,-0.619577,1.0642669
0.23350799,0.24485399,0.320372
-0.843386,0.44652,0.527101
-0.654408,0.492209,1.467172
1.550315,-0.088816,1.9986039
-0.917928,-1.9986039,1.5612949
0.82045,0.389302,1.4796159
0.022142999,-0.495991,0.564128
0.763781,0.965081,0.731573
0.264435,-0.103212,0.465186
4.27E-4,-0.25241798,-0.449875
-0.821853,0.493734,1.492548
-0.940498,-0.283894,1.291736
1.486692,-1.7234939,1.9986039
1.0280939,0.611891,1.13277
-1.6072012E19,-7.81875E-38,-2.6187382E-11
-0.849242,0.85936797,1.2065799
-0.054961,0.42901298,1.163697
-0.16591999,-1.197674,1.9986039
0.596641,-0.284504,1.24928
0.553636,-0.026657,0.816912
0.491233,0.318359,0.93165296
-0.449753,-0.051423,-0.205692
-0.563396,0.768112,1.3228459
0.343979,0.44395798,1.9986039
-1.296128,-1.9986039,1.9986039
0.254431,0.63525397,1.689395
-0.002623,-0.126758,0.88541496
0.280417,-0.012809999,0.075884
-0.158661,-0.105957,0.162626
-0.275293,-0.03538,0.207156
-0.533567,0.35624,0.389668
-1.0107089,-1.238727,1.949804
0.042882998,-0.492636,0.342698
1.25599,0.344528,0.945317
0.134749,4.27E-4,0.179767
-0.205936,-0.010248,0.16085699
-1.059143,0.96050596,0.849913
-0.83448,-1.875201,1.9986039
0.438651,0.425414,1.309365
-0.0122609995,-0.51300997,0.50215197
0.224297,7.93E-4,0.240706
-0.171837,-0.042151,0.089975
-0.329644,-0.20252,0.23911999
-0.984479,0.503738,1.158451
0.485194,0.613904,1.9986039
-0.778665,-1.436245,1.605947
0.73193896,0.59078497,1.349259
0.017262999,-0.270474,0.622993
1.150155,0.057462,0.941962
0.318054,0.296765,0.170922
-0.137616,-0.259189,-0.13419999
-0.32134798,0.125416,0.143289
0.88779396,0.633302,1.9986039
-0.435906,-1.278743,1.9986039
0.31903,0.621041,1.585634
-0.151219,-0.47213998,0.259677
0.91195,0.284077,0.74188197
-0.26602098,-0.192516,0.111813
-0.563823,0.35904598,0.373869
-0.050447,0.33458498,1.726117
-0.158905,-0.350689,0.802394
