x,y,z
-32.76,-14.385,21.6125
-10.01,-27.8425,56.98875
-35.30625,-28.63875,44.12625
-34.11625,-21.647501,-3.9375
11.6725,-34.545002,54.24125
-41.06375,-11.52375,-42.27125
7.34125,22.93375,46.08625
-27.895,5.17125,51.65125
16.3625,-17.745,1.9075
-23.1875,-7.1575003,40.67875
-32.5325,-25.025,-17.59625
-33.76625,32.10375,22.1725
23.52875,55.965,9.765
23.695,-8.32125,-16.03
6.60625,-21.735,52.19375
26.6175,-12.46875,-39.4275
30.26625,6.95625,15.1725
29.58375,2.8,59.1675
-2.42375,-2.1525,38.3075
-8.96875,2.94,15.16375
-7.8137503,-31.15875,24.19375
14.65625,24.77125,-8.575
-31.710001,23.0475,10.6925
4.54125,-17.87625,-4.27875
13.335,-10.9725,-4.76
24.045,-34.36125,78.91625
-5.25875,-12.88,-16.1875
-10.92875,-32.48,92.3125
53.8475,-14.6125,12.92375
29.522501,2.625,58.8175
1.14625,-23.2925,25.29625
-12.85375,-13.92125,39.357502
-46.795002,1.9775,27.098751
16.9225,-7.1575003,-17.255
-21.866251,-11.7775,94.71
-14.5425005,-44.275,24.0975
47.22375,-42.9975,105.37625
43.30375,-13.15125,87.885
-5.0575,52.2725,74.5675
76.545,-16.7125,21.210001
-15.295,-12.5825,13.25625
-109.20875,-11.43625,70.02625
-12.67,-41.25625,70.42875
-66.94625,41.72875,-6.37875
46.4625,-1.09375,58.54625
-1.4350001,-44.49375,-17.1675
8.65375,-113.72375,11.64625
-65.8175,13.02,30.4675
-5.46875,14.11375,41.88625
49.7,28.5775,39.06875
-30.14375,-11.0425005,76.44
-0.7,-23.8875,54.32875
-25.585001,-40.635,56.81375
-45.465,0.84000003,-12.9675
-39.54125,-26.460001,6.335
-10.36875,-20.991251,73.64875
-14.0875,16.695,45.77125
28.83125,-27.95625,68.60875
-60.06,0.23625,9.42375
23.38875,-4.40125,9.16125
-22.4175,-17.54375,29.785
29.9075,13.86875,32.6375
0.8225,-7.8925,81.96125
-16.0125,-53.305,38.54375
-25.61125,-70.0875,26.5125
-13.58875,-37.3975,31.185
82.1275,14.9975,95.78625
17.185,11.445,30.1
81.94375,-49.56875,8.75
13.23875,28.35,-36.505
-4.06875,42.035,43.42625
-65.87875,-16.00375,18.366251
11.4625,-43.79375,40.92375
-6.78125,-55.37875,44.61625
-41.2825,13.79875,33.425
17.14125,13.81625,8.35625
-44.24,82.652504,21.02625
-91.20125,-7.09625,26.60875
32.33125,-51.28375,34.0725
12.36375,-66.99,23.905
-50.70625,-11.2875,7.1225
110.4775,21.735,-4.59375
55.69375,-56.00875,-2.7125
-40.451252,71.77625,41.1425
33.13625,-48.72,28.72625
-82.32875,11.83,36.12875
67.97875,16.84375,21.7175
250.2325,-119.41125,45.07125
41.2825,-25.29625,34.16
-22.91625,13.755,14.20125
-91.7,58.9925,14.9625
-61.80125,-22.07625,64.3825
61.075,-51.05625,60.7075
10.77125,-60.0425,54.355
-57.6625,21.13125,43.513752
71.72375,-3.54375,43.5575
69.78125,-51.73875,20.27375
-32.48,-10.63125,42.27125
34.982502,9.852779E-15,54.720467
38.7275,23.82625,23.07375
15.60125,-41.95625,73.49125
-44.38,31.26375,101.5
-53.6375,53.305,33.985
-34.48375,-6.43125,66.84125
-13.545,-10.75375,41.5275
11.15625,-70.35,44.45875
18.375,20.85125,-23.72125
