x,y,z
0.14266,0.26166,-0.42112002
0.12488,0.26222,-0.41356
0.1323,0.26572,-0.42658
0.12138,0.24682,-0.41916
0.13916,0.2674,-0.42154002
0.133,0.26782,-0.4214
0.1323,0.30324,-0.39424002
0.15484,0.30072,-0.4025
0.16702001,0.28966,-0.39928
0.17066,0.30842,-0.39914
0.17206,0.30744,-0.4025
0.17766,0.28658,-0.40782002
0.19418001,0.28854,-0.42014
0.20356001,0.30366,-0.41790003
0.20496,0.29092002,-0.4011
0.2009,0.29610002,-0.41916
0.2044,0.30772,-0.39942002
0.21952,0.33222002,-0.40068
0.23604001,0.35658002,-0.40684
0.25354,0.329,-0.41244
0.25494,0.3332,-0.42266002
0.25858,0.33124,-0.42490003
0.25928,0.31192002,-0.44982
0.27412,0.28,-0.45626003
0.26502,0.31472,-0.45430002
0.25984,0.31780002,-0.46144003
0.25718,0.32522002,-0.45836002
0.24458,0.29358,-0.46732002
0.24668,0.30408,-0.45766002
0.25452,0.33670002,-0.44898
0.26166,0.34104002,-0.43638
0.25746,0.33670002,-0.43218002
0.26572,0.32410002,-0.42896003
0.29610002,0.30142,-0.42462
0.30268002,0.31024,-0.41300002
0.30562,0.29512,-0.41594002
0.30982,0.30338,-0.40978003
0.32032,0.32928002,-0.40684
0.32564002,0.343,-0.40572003
0.3472,0.3465,-0.40068
0.3262,0.35336,-0.39228
0.336,0.3262,-0.41874
0.35084,0.27916,-0.4312
0.42294002,0.30058,-0.41286
0.44072002,0.30310002,-0.40068
0.45332003,0.30422002,-0.40544
0.41216,0.3087,-0.41426
0.39172,0.29974002,-0.41524002
0.38654,0.28966,-0.43036002
0.40628,0.28084,-0.42364
0.42966002,0.25704,-0.43078002
0.4438,0.25998,-0.43162
0.42112002,0.24038,-0.44926003
0.4214,0.20944001,-0.45528
0.41622,0.17164001,-0.455
0.41314,0.17178,-0.45962
0.41538,0.16114001,-0.46130002
0.42616,0.18494001,-0.45122
0.41860002,0.15904,-0.45724002
0.41216,0.16086,-0.46396002
0.41496,0.14840001,-0.46256
0.42658,0.14840001,-0.46550003
0.43862,0.12726,-0.45738003
0.43316,0.1057,-0.4578
0.40754002,0.09842,-0.47068
0.38822,0.09058,-0.47950003
0.38108,0.08302,-0.47096002
0.39242002,0.15862,-0.47152
0.39508,0.15316,-0.47936
0.39984,0.13482,-0.49126002
0.41174,0.13776,-0.48776
0.44758,0.08008,-0.49952
0.43078002,0.03836,-0.50288004
0.4102,0.05544,-0.51226
0.31332,0.096880004,-0.52458
0.32368,0.094220005,-0.5201
0.3346,0.098560005,-0.5194
0.3668,0.0581,-0.50918
0.33796,0.0434,-0.50148004
0.30506,0.044800002,-0.49308002
0.28350002,0.0238,-0.49056002
0.29722002,0.02562,-0.4914
0.2954,0.049560003,-0.49238002
0.31122002,0.06482,-0.48832002
0.31094,0.00742,-0.48314002
0.23660001,0.01722,-0.46424
0.24416001,0.00322,-0.45962
0.22106001,0.049560003,-0.45696002
0.20930001,0.102900006,-0.45192
0.20006001,0.08918,-0.44548002
0.2289,0.063700005,-0.45164
0.24584001,0.0322,-0.44366002
0.23226,0.028280001,-0.4438
0.21098001,0.04816,-0.44268
0.16926001,0.06482,-0.43722
0.18718,0.061320003,-0.44618002
0.16702001,0.097160004,-0.44702002
0.1932,0.07378,-0.47152
3.2575183E-6,-8.4767106E-4,-2.234255E27
0.09842,0.1155,-0.4417
0.102060005,0.12768,-0.44198
0.087500006,0.17094001,-0.43022
0.10738,0.16562,-0.42812002
0.13552,0.13804,-0.44912001
0.13454,0.13258,-0.4445
0.10598,0.15974,-0.42742002
0.085820004,0.17892,-0.40656
0.08022,0.18788001,-0.39592
0.0644,0.2205,-0.37898
0.07574,0.23688,-0.39018002
0.091280006,0.19768001,-0.41216
0.11158,0.18592,-0.41230002
0.110740006,0.2149,-0.40264
0.10024,0.22526,-0.39312002
0.08078,0.21742001,-0.38472
0.093940005,0.28882,-0.3759
0.13734001,0.26936,-0.40460002
0.15596001,0.24332,-0.42322
0.15806,0.2632,-0.42308
0.14504,0.27874002,-0.4144
0.124740005,0.27426,-0.42434
0.101780005,0.32354,-0.39508
0.10388,0.3458,-0.39984
0.12726,0.31472,-0.40964
0.13804,0.28728,-0.42476
0.1365,0.32326,-0.40292
0.12894,0.31626,-0.39536002
0.12138,0.28434,-0.38052002
0.11984,0.329,-0.37352002
0.133,0.34692,-0.35224
0.1386,0.3619,-0.35686
0.17444001,0.33824,-0.37758002
0.19012001,0.32256,-0.39830002
0.19544001,0.32718,-0.39676002
0.19852,0.35112,-0.3794
0.1932,0.34748,-0.3801
0.20496,0.39144,-0.36918002
0.21126,0.39718002,-0.3528
0.22386001,0.40726,-0.37212002
0.25284,0.40152,-0.37044
0.28588,0.36582002,-0.41398
0.26894,0.38962,-0.42056
0.25242,0.37786,-0.42308
0.25074002,0.41958,-0.39102
0.27006,0.39648002,-0.3871
0.30282,0.38192,-0.40488002
0.31024,0.34510002,-0.41314
0.31780002,0.35098,-0.4109
0.31668,0.34762,-0.40348002
0.29778,0.34888002,-0.40474
0.30856,0.37548,-0.37912002
0.32536,0.39872,-0.37072
0.32536,0.39872,-0.37072
0.37408,0.32424,-0.41048002
0.38402,0.33194,-0.41048002
0.38066,0.32228002,-0.40698
0.3696,0.31892002,-0.41160002
0.3885,0.34440002,-0.38108
0.38878,0.36484,-0.38066
0.43708003,0.28532,-0.41916
0.43330002,0.29302,-0.42616
0.42630002,0.28546,-0.42448002
0.41622,0.28028,-0.43526
0.42014,0.24962,-0.44044
0.43400002,0.27076,-0.42742002
0.41944,0.29302,-0.42672002
0.44338,0.29218,-0.42266002
0.46130002,0.25816,-0.43092
0.46746,0.22526,-0.44058
0.43988,0.21798001,-0.4508
0.4214,0.18886,-0.46816
0.43036002,0.20916,-0.45514002
0.44898,0.19404,-0.45346
0.45906,0.19950001,-0.44422
0.47082,0.17612,-0.45318002
0.46816,0.15638,-0.45486
0.44982,0.154,-0.45878002
0.4228,0.16884,-0.46536002
0.42994002,0.15134001,-0.45682
0.44730002,0.1302,-0.46130002
0.45472002,0.15036,-0.45906
0.44996002,0.18186,-0.45864
0.45738003,0.15176,-0.4627
0.4382,0.124740005,-0.47376
0.42322,0.13678001,-0.48678002
0.42196003,0.124740005,-0.48986
0.42686,0.113120005,-0.48720002
0.40726,0.1526,-0.50442004
0.35308,0.07294,-0.5215
0.30786002,0.095340006,-0.52346003
0.29554,0.11186,-0.52346003
0.32536,0.060480002,-0.51632
0.32802,0.05096,-0.50092
0.27174002,0.03654,-0.49042
0.26978,0.05474,-0.49448
0.25074002,0.074480005,-0.48958
0.27034,0.07574,-0.48790002
0.28378,0.05418,-0.48776
0.2779,0.01792,-0.48552
0.25522,0.016800001,-0.47936
0.20622,0.063420005,-0.46186
0.20286001,0.03472,-0.46074
0.1883,0.096880004,-0.44226
0.19264,0.030100001,-0.42560002
0.18452,0.04732,-0.42364
0.16324,0.0763,-0.40838
0.16954,0.056700002,-0.41244
0.14728001,0.11732,-0.40656
0.14616,0.15302001,-0.42126
0.15246001,0.1596,-0.43498
0.17052001,0.12488,-0.44436002
0.1715,0.090160005,-0.44604
0.14672,0.14098,-0.44758
0.12684001,0.13496001,-0.44436002
0.1197,0.12432,-0.44968
0.1176,0.12054,-0.44534
0.09436,0.18592,-0.42406002
0.102060005,0.18508,-0.43722
0.11494,0.17276001,-0.44030002
0.13888,0.12166,-0.44548002
0.13734001,0.12964,-0.44086
0.12376,0.1568,-0.43414
0.114240006,0.15428,-0.42434
0.09212,0.17598,-0.41762
0.09646,0.14966,-0.41426
0.077,0.19866,-0.39872
0.1043,0.1876,-0.42224002
0.09604,0.20846,-0.38542002
0.1106,0.21686001,-0.37744
0.10024,0.26334,-0.3528
0.117740005,0.27594,-0.36246002
0.12810001,0.28350002,-0.3836
0.16674,0.26194,-0.40838
0.14854,0.25998,-0.42014
0.13034001,0.27944002,-0.40432
0.13398,0.28924,-0.41188002
0.117180005,0.33376002,-0.3962
0.13566001,0.2947,-0.41426
0.16086,0.28882,-0.43400002
0.15722,0.27916,-0.42742002
