x,y,z
-0.060573,-0.350628,1.028216
-0.023851,-0.321958,0.854244
-0.114253,-0.17458199,0.861503
0.021045,-0.067649,1.05713
0.015859999,-0.19294299,1.031754
-0.12627,-0.088816,0.948123
0.075945,-0.030438999,0.87528896
-0.016774999,-0.159454,1.024922
-0.112484,-0.382043,1.125755
0.020435,-0.078934,1.035658
-0.020496,0.077957995,0.921344
-0.050386,-0.003599,0.864187
0.176351,-0.3538,1.0783579
-0.006039,-0.188734,1.113799
-0.092171,-0.037637,1.035902
0.027206,-0.020008,0.94354796
-0.094367,-0.082655,0.885232
0.06771,-0.050386,0.894565
-0.062952,-0.038613,1.0626199
-0.13908,0.217648,1.150033
-0.044834998,-0.25681,1.135149
-0.047213998,-0.348249,0.99783796
-0.099979,-0.261873,0.922259
0.230031,0.001342,1.07665
-0.023546,-0.026534999,1.01138
0.038918,-0.04392,1.045235
-0.072528996,-0.034282,0.925065
-0.056181,-0.349957,1.129293
0.001037,-0.034892,1.023458
0.040199,0.020069,0.923418
-0.007076,-0.103395,0.885781
-0.171837,0.02379,0.91256
0.027267,-0.315126,1.166137
-0.060024,-0.063806,1.050359
-0.120963,-0.0854,1.006134
-0.007929999,-0.017507,0.925187
-0.018726999,0.033428,0.955626
-0.031293,0.072468,0.95202696
-0.084973,-0.260348,0.96111596
-0.113399,-0.063928,1.141371
0.043981,-0.21594,0.956602
-0.123525,-0.229299,0.907192
-0.16323599,-0.250832,0.939644
0.026534999,-0.098515,1.147715
-0.022326,0.025497999,1.1170319
-0.077286996,-0.07137,1.015162
-0.24930699,-0.140849,1.060485
0.046848,-0.21331699,0.865651
-0.045628,-0.167689,0.92598
-0.047458,0.072407,0.91396296
0.053802,0.186904,0.95739496
-0.21045,-0.42388898,1.1143479
-0.043249,-0.106323,1.0229089
-0.112849995,0.014518,0.95526
-0.100039996,0.0854,0.89907897
-0.053863,-0.192516,1.068964
-0.034098998,-0.045079,0.96855795
-0.038918,-0.025376,0.94623196
-0.038796,-0.042517,0.9882
-0.098698,-0.265472,1.009428
-0.317444,0.045872,1.202798
-0.108153,-0.43779698,0.982039
-0.002989,-0.286334,0.92476
-0.122976,-0.174643,0.908351
-0.169763,-0.124684,0.88035196
-0.077226,-0.110226996,1.0117459
0.010797,-0.049287997,1.146556
-0.089365,-0.1464,1.140639
-0.034098998,-0.08174,0.958005
-0.022936,-0.119986996,0.88913596
-0.088998996,-0.149572,0.936838
-0.090036,-0.008601,0.980331
-0.43474698,-0.066917,1.079334
-0.133102,0.117180996,1.025715
-0.268766,0.095343,0.937692
-0.116022,-0.123890996,1.127341
0.27816,-0.131272,1.053043
0.096379995,-0.23179999,0.869433
-0.42358398,-0.177083,0.953125
-0.344589,-0.358924,1.255075
-0.306464,-0.23399599,1.705926
0.17256899,0.239852,0.95037997
-0.627934,0.29591098,0.500505
-1.83E-4,0.065758,0.97941595
0.570777,-0.039162,1.0471259
-6.1E-4,-0.97227895,1.2680069
-0.684603,-0.033733,1.49206
-0.282613,0.263337,1.4471639
-0.359107,-0.020313,1.070001
0.35319,0.039284,0.017507
-0.023058,-0.124074,0.278099
0.848022,-0.41467798,0.563152
0.411445,-0.475373,1.9890269
-0.800808,0.606157,1.957246
-0.28609,-0.565104,1.770952
0.103822,-0.209657,-0.28840798
0.49227,0.22960399,1.242265
-1.580205,-0.260714,1.9288809
0.066856,0.071126,1.9482789
-0.421449,-0.323178,0.985272
0.438224,0.174216,0.104187995
0.446398,-0.312076,0.61591697
-1.660847,0.74084496,1.9986039
-0.13401699,-0.113947995,1.8188369
-0.005124,-0.288591,-1.020713
0.082655,0.183488,0.043798
0.64233,0.48360798,0.955382
-0.802516,-0.523258,1.9986039
-0.181353,-0.065758,1.625101
0.340319,-0.145546,0.031781
-0.23857099,-0.083021,-0.057035
-0.894504,0.432917,1.9986039
-0.28487,0.149999,1.9986039
-0.119682,0.086192995,0.21807499
0.544486,0.12017,1.66408
-1.709037,0.092659,1.9986039
0.075945,-0.243207,0.600789
0.132431,0.020008,-0.403332
-0.319823,0.147071,0.21398799
0.034098998,-0.966057,1.5795339
-0.120719,-0.146339,0.588955
0.031415,-0.148047,-0.79080397
-0.002379,0.360327,0.233264
0.433893,-0.510692,1.725995
-0.642818,-0.40314898,1.9986039
0.236314,-0.085765995,-0.086254
-0.388692,-0.101564996,-0.056364
0.078811996,0.067893,0.136335
0.712175,-0.370392,1.099769
-0.717848,0.82295096,1.9986039
-0.16958,0.053558,1.959747
-0.40314898,-1.434903,1.9986039
-0.0129929995,0.288713,0.238998
