x,y,z
18.83875,3.77125,-24.9025
3.115,11.71625,-27.9125
-11.68125,18.97875,-23.17
8.19,9.4675,-21.56875
17.43,3.85875,-34.72875
5.6,5.10125,-28.315
19.69625,-0.97125,-25.17375
2.2925,-28.55125,-40.3025
-42.18375,18.54125,-27.335001
-32.165,12.845,-28.3325
-16.03875,12.53,-22.015
-3.3075001,15.74125,-19.25
5.10125,-2.24875,-19.67
-24.29875,3.4125,-18.26125
-14.0875,3.49125,-12.285
-18.3575,-5.985,-14.6475
-25.2875,-3.08,-20.1075
-5.85375,-24.19375,-18.59375
-5.075,-17.94625,-12.71375
30.00375,-5.5475,-14.28875
41.335,-3.14125,-7.735
21.1225,5.36375,-17.07125
-3.61375,12.9325,-16.345
4.05125,2.05625,-25.366251
25.095,3.5175,-30.77375
15.3825,-18.13875,-18.9875
6.25625,-29.4175,-33.285
-42.34125,16.93125,-24.6925
-34.3175,11.83875,-27.67625
-17.6925,10.29875,-19.7575
-5.495,8.35625,-18.27
-0.86625,14.51625,-20.8775
-1.4875,-0.30625,-21.35
-8.9425,0.74375,-7.79625
-8.4,3.24625,-7.79625
-13.69375,-0.84875,-19.17125
-13.2300005,-7.62125,-10.26375
-3.43,-14.58625,-11.83875
16.52,-25.725,-2.58125
4.24375,-6.685,-7.60375
15.26875,-2.66875,-4.73375
-0.2975,12.9325,-5.3725
-4.31375,14.28,-11.0425005
-8.09375,3.89375,-17.045
-7.93625,3.29,-13.30875
10.465,1.015,-17.01875
4.68125,9.5025,-15.51375
-1.98625,3.5875,-11.9875
-12.60875,0.6825,-14.735
-3.5525,-12.04875,-9.9487505
1.295,-27.0375,-15.9425
-13.895,7.60375,-7.69125
-36.5575,13.1425,-12.32
-12.27625,14.91,-3.03625
-1.74125,16.17,-10.85
-17.255,-1.2425,-7.7875
-4.24375,-7.455,-9.54625
-8.33,-4.73375,-4.34
5.73125,-16.37125,-8.42625
21.4375,-36.53125,-2.49375
11.0425005,-10.4825,5.425
32.235,0.4025,3.815
3.66625,12.85375,-11.9175005
-10.24625,20.93875,-10.36875
-2.9225,21.51625,0.77
2.58125,16.45,-1.9075
4.69,2.835,-6.2125
1.5925,6.09,-14.72625
1.0325,-1.6800001,-18.40125
-3.15875,-12.11875,-21.525
-2.14375,-16.09125,-24.6575
-16.96625,-33.85375,-27.317501
1.30375,-7.67375,-27.36125
-11.7775,29.58375,-18.05125
17.053751,32.45375,-32.305
5.915,31.21125,-36.5925
-6.30875,6.86,-27.57125
-34.83375,-15.6975,-15.05875
-14.35,-8.44375,-13.545
8.75875,40.9675,3.605
-6.0375,41.405,7.8137503
-17.605,2.37125,15.26
6.9825,-2.93125,-20.76375
11.13,-1.19875,-20.29125
15.33,-45.99,-80.325
-0.51625,-20.81625,-55.86875
-57.3825,-6.23,-62.09
-41.16,14.11375,-73.815
-12.43375,40.78375,-47.36375
-0.58625,3.1675,-46.61125
10.03625,-1.28625,-16.44125
-14.6475,-17.99875,-20.09
-20.02875,-47.39,-64.058754
30.42375,-34.79875,-22.23375
24.43875,13.58,-15.995
-21.76125,-9.28375,-9.56375
-19.39875,-36.58375,-6.44
-9.8525,-38.77125,-102.01625
-39.90875,0.026250001,-30.52
-4.27,44.59,-52.675
-7.44625,-15.26,-74.9875
20.27375,-13.23875,-18.025
23.5725,-35.4375,-47.635
74.6025,-7.07875,-31.28125
-34.02,4.8125,-12.5825
-10.78,0.46375,-53.7075
5.635,-32.01625,-52.9375
8.26875,-21.09625,-22.39125
6.23875,45.19375,-40.13625
-5.20625,-8.96875,-64.61875
-37.58125,14.28875,-67.59375
-6.7375,-7.245,-56.32375
76.475,-36.14625,-33.075
-52.57,-10.71875,-52.47375
-10.36875,-5.285,-9.2925005
-12.11875,-14.30625,-83.13375
35.21875,15.6362505,-47.7925
-1.5925,0.04375,-80.01875
38.03625,-2.6512501,-15.47
72.00375,2.3275,-27.553751
-12.24125,23.5025,-5.34625
-79.275,-3.5787501,-35.6825
-21.0,-10.63125,-57.00625
37.7825,-3.07125,24.71875
10.1325,-24.85,-29.54
-20.51875,-4.795,-64.81125
-23.8175,14.4025,-62.81625
13.055,-6.1775002,4.2525
-11.4975,-32.4625,-36.09375
-16.49375,-4.305,-46.61125
99.61,-33.41625,-41.86875
18.48875,15.3475,-12.145
-36.58375,-7.0875,-51.625
13.3175,-15.6975,-50.855
-14.83125,-19.460001,18.06875
0.4725,-19.18,-89.9325
-33.60875,28.1225,-11.4275
-1.89,34.055,-48.3525
-16.44125,4.8475,-77.11375
23.52875,4.03375,-12.9325
-12.34625,-31.9025,-9.4325
-22.18125,-0.93625003,-88.82125
5.18875,26.97625,-0.37625
-65.7125,-2.84375,-43.4
-3.63125,-10.1325,-52.535
-30.75625,-22.02375,-12.6875
-50.00625,-29.11125,-76.44875
-9.975,38.955,-52.31625
-13.09,-14.14,-66.17625
20.895,-18.6375,-3.255
-11.33125,7.07875,-74.78625
94.52625,-7.8575,-25.8825
-24.053751,-16.3625,-59.85875
-0.63,-20.08125,-11.0775
-4.57625,-5.9675,-12.87125
17.38625,33.1275,-55.763752
15.8025,-13.04625,-17.85
48.755,-43.53125,-65.8525
68.8975,-6.3525,-31.80625
-1.0325,24.91125,-9.75625
-88.165,8.14625,-36.732502
-25.89125,-3.6925,-72.8175
-15.3825,-27.772501,-33.9675
-3.3600001,3.63125,-8.5925
14.9975,-26.57375,-15.54875
-5.5212502,43.6275,-56.32375
31.395,2.35375,-40.1975
10.1675005,-34.09875,-37.8
81.6725,-10.6925,-30.28375
2.5725,27.46625,-5.57375
-26.495,-11.55875,-62.3
-13.9475,-26.39875,-18.92625
-46.025,-22.12,-65.7825
-4.0075,40.41625,-53.34875
1.9075,-7.21875,-73.6925
4.40125,9.59875,-45.0625
5.0225,-20.01125,-4.38375
23.51125,17.68375,-68.80125
34.7725,-46.6375,-42.2625
92.295,-7.385,-33.6875
-12.705,30.2925,-1.26
-74.19125,8.46125,-13.825
-41.965,6.90375,-72.7825
7.14875,-18.803751,-44.68625
81.585,8.91625,54.29375
19.775,-31.17625,-21.37625
-1.3825,37.42375,-57.8025
9.9487505,-10.94625,1.54
-56.49875,-12.74875,-38.94625
105.105,-28.97125,-59.43875
-64.9775,-11.36625,-8.925
-34.1425,1.4,-65.9575
12.15375,-19.01375,-49.1575
-1.2075,-12.55625,23.94875
4.08625,-33.53875,-83.08125
4.08625,-33.53875,-83.08125
-18.01625,26.0575,-11.6987505
-3.5875,20.46625,-48.2825
4.97,2.49375,-70.9275
16.14375,-22.09375,-3.29
20.9825,12.66125,-69.3175
39.235,-38.255,-24.54375
-13.7025,28.90125,6.7725
-89.4075,-5.80125,-27.0725
-37.8175,13.685,-68.7575
18.48,9.6775,20.4925
-14.39375,56.91875,-40.06625
-9.6775,11.13875,-51.03875
10.885,-31.01875,-10.14125
-16.835001,12.01375,-120.77625
20.01125,-45.185,-60.50625
-0.81375,18.7775,-7.5950003
-70.32375,-5.705,-26.15375
-22.37375,-14.41125,-81.05125
-19.8625,-22.72375,-26.08375
-46.7775,-19.145,-91.13125
13.1075,17.9025,-42.14875
-16.35375,1.46125,-73.47375
7.9275002,-4.10375,-26.1275
-4.87375,-31.75375,-25.235
-5.0925,9.87875,-52.43
22.522501,-44.0125,-15.95125
62.11625,8.5925,-7.53375
3.89375,17.70125,0.052500002
-57.015,-11.43625,-36.505
15.1987505,-17.63125,-14.02625
-19.88,-14.4725,-88.3575
-4.57625,-1.60125,-25.2525
13.685,42.3675,-45.395
29.79375,-4.80375,-32.52375
26.897501,-5.9587502,-7.8925
-15.47875,10.43875,-55.37
80.80625,-10.4475,-38.08875
-6.76375,27.0375,9.80875
-75.915,11.6375,-15.2425
17.955,-22.88125,-50.54875
57.9075,-0.455,56.455
24.4475,-29.925,-48.3875
-20.72875,19.635,-58.66
-46.69875,16.5725,-66.59625
27.01125,4.4625,5.29375
-20.685,-18.06875,-40.0925
74.68125,-34.23875,-46.41
12.845,11.235,-8.40875
-22.522501,22.07625,-15.16375
-37.0825,-4.7775,-51.835
6.7375,-33.670002,-62.895
6.64125,-8.1375,5.8275
20.265,-27.93,-104.5975
-40.27625,1.7675,-81.22625
19.845,-0.4025,4.34875
-10.465,-10.36875,-35.62125
37.5375,11.71625,-12.04
-37.415,-8.6625,-40.41625
-9.9925,-19.985,-65.47625
-24.4825,-12.15375,-11.7075
0.20125,-21.60375,-88.5325
-0.37625,0.76125,-71.5575
21.428751,-33.03125,-14.8925
-26.775,10.40375,-113.155
78.56625,-3.15875,-17.43
0.35,31.85875,7.98
-66.675,7.6125,-19.10125
-38.885,2.8875,-64.3825
24.71875,15.4875,35.035
16.5725,-25.9875,-30.9925
5.5825,44.3625,-28.5425
-16.135,6.79875,-62.09
-26.880001,19.34625,-62.4575
5.88,7.97125,0.18375
