x,y,z
0.39466,0.022400001,-0.44842002
0.4025,0.026180001,-0.44268
0.41076002,0.0217,-0.43932
0.43190002,0.02226,-0.44576
0.44394,0.040880002,-0.43792
0.44590002,0.04634,-0.43442002
0.44618002,0.07518,-0.43792
0.4354,0.10164,-0.45122
0.43064,0.0728,-0.44688
0.43708003,0.07224,-0.4417
0.44478002,0.0518,-0.4417
0.45360002,0.05096,-0.43694
0.46438003,0.07896,-0.43834
0.46648002,0.05936,-0.43932
0.46718,0.067480005,-0.43316
0.46802002,0.056,-0.43512002
0.46774,0.04046,-0.43414
0.46228,0.04004,-0.44212002
0.45514002,0.0385,-0.44520003
0.4501,0.030520001,-0.44254002
0.44926003,0.0581,-0.44576
0.44814003,0.07756,-0.44506
0.45178002,0.0819,-0.44758
0.46998,0.0917,-0.43946
0.47306,0.09226,-0.4417
0.46074,0.13482,-0.43932
0.44954002,0.16002001,-0.4515
0.44226,0.1645,-0.44912001
0.44674,0.13594,-0.448
0.45052,0.11984,-0.44506
0.45136002,0.116340004,-0.45346
0.45934,0.12488,-0.44968
0.45864,0.12348,-0.44604
0.46144003,0.12026,-0.45094
0.46004,0.12138,-0.4487
0.45976,0.1197,-0.43792
0.45822,0.10794,-0.44072002
0.4557,0.1078,-0.4445
0.44058,0.12054,-0.44142002
0.44422,0.118300006,-0.44982
0.42686,0.15890001,-0.45220003
0.43330002,0.17206,-0.44772002
0.44058,0.1659,-0.4508
0.44548002,0.1694,-0.44282
0.44758,0.15918,-0.44548002
0.44688,0.16086,-0.44926003
0.44646,0.1743,-0.45094
0.45164,0.17836,-0.44366002
0.45038,0.1869,-0.43862
0.44744,0.17024,-0.44576
0.44016,0.1666,-0.44268
0.42700002,0.15806,-0.45724002
0.43022,0.17528,-0.45444
0.4424,0.15288,-0.45906
0.44982,0.14896001,-0.45976
0.46144003,0.15946001,-0.45304
0.45766002,0.14322,-0.45220003
0.45234,0.14728001,-0.45472002
0.45136002,0.12628001,-0.45430002
0.44142002,0.15442,-0.4585
0.4305,0.15568,-0.46284002
0.42000002,0.18592,-0.45486
0.42364,0.1967,-0.45864
0.42462,0.18816,-0.44954002
0.43778002,0.18256001,-0.45164
0.44884002,0.18438001,-0.44394
0.45346,0.19096,-0.44786
0.45052,0.18312001,-0.44422
0.45682,0.19222,-0.44898
0.45052,0.18858,-0.44954002
0.44590002,0.19250001,-0.45318002
0.4298,0.20986001,-0.45542002
0.41482002,0.19516,-0.4564
0.41664,0.17738001,-0.45332003
0.42896003,0.17402,-0.45682
0.43904,0.17934,-0.44590002
0.44366002,0.18732001,-0.43904
0.44058,0.1764,-0.44408002
0.38864002,0.16898,-0.45836002
0.40670002,0.17682001,-0.44646
0.4312,0.17878,-0.43036002
0.44646,0.17472,-0.4361
0.43806002,0.16492,-0.42518002
0.43764,0.18550001,-0.42924002
0.42406002,0.2016,-0.42700002
0.40376002,0.20902,-0.42028
0.39522,0.2009,-0.42476
0.38934,0.18774,-0.42252
0.38962,0.1729,-0.42182
0.4039,0.1841,-0.41888002
0.40152,0.19600001,-0.42112002
0.39984,0.19362001,-0.41272002
0.39130002,0.1848,-0.4109
0.37352002,0.17374,-0.41006002
0.37114,0.20496,-0.40656
0.38766,0.20146,-0.42924002
0.37632,0.22526,-0.43162
0.36554,0.21028,-0.44814003
0.33768,0.21616,-0.45164
0.34258002,0.20244001,-0.44786
0.33992,0.2079,-0.45066002
0.32984,0.20412001,-0.45766002
0.30464,0.2184,-0.46074
0.28672,0.23576,-0.45724002
0.29624,0.26446,-0.45136002
0.2926,0.23058,-0.46816
0.2807,2.1848607E28,-1.9398497E28
0.24626,0.23072001,-0.46494
0.24934001,0.23408,-0.46326002
0.25284,0.23814,-0.46158
0.24598001,0.2184,-0.47152
0.23786001,0.20146,-0.47194
0.21644,0.19908,-0.47124
0.21308,0.22274001,-0.47320002
0.18998,0.2002,-0.4823
0.18662001,0.20482,-0.4823
0.18354,0.20076,-0.48468003
0.18200001,0.17556,-0.483
0.18032001,0.17850001,-0.49
0.13958,0.2051,-0.48020002
0.1365,0.21518001,-0.48552
0.13748,0.1939,-0.4823
0.124460004,0.15778,-0.4844
0.102340005,0.18200001,-0.46802002
0.09114,0.17066,-0.46158
0.1036,0.15414001,-0.46130002
0.10836,0.1351,-0.46494
0.10976,0.12614,-0.45486
0.1036,0.13412,-0.44758
0.10052,0.09492,-0.44688
0.09548,0.1127,-0.43862
0.08764,0.15470001,-0.43036002
0.10794,0.1295,-0.43862
0.11298,0.10738,-0.44072002
0.105000004,0.10752,-0.43134
0.098000005,0.09786,-0.43078002
0.09842,0.08358,-0.43638
0.11536001,0.07868,-0.44842002
0.12320001,0.0539,-0.44506
0.13608,0.03514,-0.44576
0.12642,0.03248,-0.4431
0.12278,0.020860001,-0.4438
0.12516001,0.04802,-0.44674
0.13244,0.0504,-0.45458
0.1386,-7.0000003E-4,-0.45276
0.1365,0.015400001,-0.44954002
0.13104,0.02156,-0.45262
0.13524,-1.4E-4,-0.44912001
0.147,-0.0056000003,-0.45276
8.008994E-19,1.261798E-37,-5.469369E-31
0.14966,-0.03248,-0.45556
0.13608,-0.020720001,-0.44856
0.14840001,-0.06524,-0.44520003
0.147,-0.05488,-0.44464
0.13188,-0.062580004,-0.43246
0.14574,-0.07742,-0.43358
0.17066,-0.07686,-0.4277
0.17766,-0.094500005,-0.41426
0.17486,-0.049140003,-0.43232
0.1771,-0.049700003,-0.43274
0.19194001,-0.070420004,-0.42672002
0.20174001,-0.082880005,-0.41006002
0.20916,-0.090440005,-0.41034
0.20398,-0.086380005,-0.4095
0.21238,-0.08414,-0.41258
0.21700001,-0.0903,-0.41132
0.25452,-0.11466,-0.40936002
0.27062002,-0.10738,-0.41902
0.26502,-0.10542,-0.43428
0.26278,-0.0812,-0.44562
0.26838002,-0.113960005,-0.43358
0.26558,-0.12138,-0.43638
0.25452,-0.11844,-0.4368
0.27286002,-0.120120004,-0.42672002
0.29246,-0.13440001,-0.42448002
0.31164,-0.13888,-0.42378002
0.31864,-0.12908,-0.42294002
0.31822002,-0.15274,-0.42042002
0.3269,-0.13552,-0.4214
0.32634002,-0.123900004,-0.43848002
0.329,-0.1022,-0.44730002
0.34048,-0.122640006,-0.43316
0.34748,-0.1428,-0.4347
0.36064002,-0.124740005,-0.42714
0.35476002,-0.133,-0.44296002
0.35518,-0.12810001,-0.43834
0.36344,-0.12516001,-0.43372002
0.39718002,-0.10654,-0.43834
0.39578,-0.10598,-0.44842002
0.40404,-0.074480005,-0.45262
0.40264,-0.05376,-0.46284002
0.40348002,-0.074760005,-0.46228
0.4102,-0.07924,-0.46018
0.40012002,-0.0623,-0.46452
0.39242002,-0.063420005,-0.45738003
0.39242002,-0.063420005,-0.45738003
0.3815,-0.060620002,-0.47054002
0.39830002,-0.048720002,-0.45052
0.40362,-0.04662,-0.45430002
0.41300002,-0.05376,-0.44884002
0.40768,-0.04326,-0.43792
0.4158,-0.041020002,-0.45024002
0.41048002,0.0061600003,-0.448
0.42406002,-0.01148,-0.43624002
0.42756,-0.0231,-0.43162
0.42672002,-0.02576,-0.43386
0.43554002,-0.013160001,-0.43330002
0.47320002,-0.01246,-0.41692
0.4753,-0.018480001,-0.42168
0.47418,-0.01162,-0.4214
0.47460002,-0.01148,-0.4144
0.47026002,0.03906,-0.43484002
0.46928,0.01106,-0.43526
0.47908002,0.013300001,-0.42812002
0.46676,0.02156,-0.43806002
0.46144003,0.02548,-0.44548002
0.46844003,0.03192,-0.43554002
0.46914002,0.037520003,-0.43848002
0.47726002,0.04788,-0.43708003
0.47656003,0.05082,-0.4361
0.46732002,0.04746,-0.44072002
0.46088,0.0728,-0.44114003
0.455,0.091000006,-0.44632
0.45724002,0.10024,-0.44534
0.46326002,0.07952,-0.44968
0.44828,0.0784,-0.45458
0.44212002,0.089320004,-0.45164
0.43708003,0.07224,-0.46284002
0.44730002,0.10402,-0.45430002
0.45416,0.110460006,-0.45192
0.45052,0.12586,-0.45682
0.44534,0.118020006,-0.45584002
0.42896003,0.1694,-0.45878002
0.4235,0.17304,-0.44590002
0.43890002,0.17948,-0.44912001
0.42602003,0.14084001,-0.45458
0.41916,0.14504,-0.46172002
0.40376002,0.16562,-0.45178002
0.40838,0.18158,-0.44926003
0.40418002,0.16758001,-0.44268
0.39984,0.1904,-0.44128
0.39312002,0.18214001,-0.43862
0.37184,0.17864001,-0.43232
0.35826,0.22036001,-0.4214
0.37184,0.2114,-0.41412002
0.37562,0.1953,-0.42294002
0.36764002,0.18900001,-0.42224002
0.35224,0.20174001,-0.42504
0.35266,0.19838001,-0.41734
0.35000002,0.21028,-0.4291
0.34482002,0.20622,-0.42868
0.33516002,0.2184,-0.43722
0.30492002,0.2716,-0.42644
0.31304002,0.24556,-0.43764
0.29862002,0.22414,-0.44814003
0.28546,0.23058,-0.45458
0.28252,0.238,-0.45108002
0.26292,0.2205,-0.46368
0.25228,0.2597,-0.46382
0.24304001,0.22848001,-0.46284002
0.21658,0.24444,-0.45402002
0.21924001,0.26012,-0.45794
0.22680001,0.24416001,-0.45892
0.22316,0.22960001,-0.46228
0.21028,0.21336001,-0.46074
0.20118001,0.22960001,-0.46158
0.19768001,0.23772001,-0.46760002
0.20902,0.2289,-0.46508002
0.20636001,0.21518001,-0.47558
0.20692001,0.19600001,-0.47236001
0.19446,0.18914,-0.47418
0.17766,0.20692001,-0.47306
0.15792,0.23114,-0.4508
0.15876001,0.25144002,-0.45262
0.16338,0.23254001,-0.47208002
0.15302001,0.20762001,-0.46550003
0.14308001,0.19418001,-0.46816
0.121240005,0.21266,-0.45766002
0.106400006,0.18158,-0.45318002
0.12334,0.13804,-0.45360002
0.12726,0.14490001,-0.44044
0.11186,0.15288,-0.4438
0.1043,0.1302,-0.43288
0.10248,0.16954,-0.43316
0.11242,0.16324,-0.43022
0.11438,0.1568,-0.4382
0.11466,0.11816,-0.42742002
0.101220004,0.10388,-0.42042002
0.11144,0.10598,-0.43708003
0.12726,0.09184,-0.43498
0.1337,0.07756,-0.43778002
0.1358,0.091000006,-0.45388
0.13608,0.067480005,-0.43806002
0.11788,0.07868,-0.43372002
0.12768,0.0868,-0.44814003
0.13454,0.063420005,-0.44324002
0.13986,0.01694,-0.45024002
0.117180005,0.01596,-0.44618002
0.15120001,-0.024780001,-0.45206
0.15694,-0.02142,-0.45654002
0.14294,0.00476,-0.45934
0.147,-0.020580001,-0.46074
0.14028001,-0.024780001,-0.45360002
0.13902001,-0.01078,-0.46158
0.14112,-0.00434,-0.46368
0.14140001,-0.00392,-0.46284002
0.14644,-0.020440001,-0.45864
0.12642,-0.02534,-0.45360002
0.12054,-0.041160002,-0.43862
0.122360006,-0.04214,-0.43316
0.15484,-0.07546,-0.43036002
0.16058001,-0.0735,-0.43288
0.1638,-0.06804,-0.4284
0.1624,-0.05796,-0.43316
0.17178,-0.037520003,-0.43932
0.1897,-0.049000002,-0.42798
0.20034,-0.0847,-0.41902
0.20244001,-0.0854,-0.41342002
0.20734,-0.07714,-0.40544
0.21854001,-0.095060006,-0.41328
0.24472001,-0.09926,-0.4018
0.25886,-0.113120005,-0.41524002
0.25942,-0.0973,-0.40824002
0.26642,-0.126,-0.4088
0.27272,-0.12320001,-0.42462
0.2702,-0.12754,-0.43204
0.27468002,-0.13076,-0.42364
0.29652,-0.15064001,-0.42574
0.33376002,-0.102900006,-0.43414
0.34034002,-0.108780004,-0.4417
0.3493,-0.13286,-0.42686
0.35154,-0.13496001,-0.43204
0.34356,-0.12852,-0.43652
0.34944,-0.1323,-0.43624002
0.3801,-0.13734001,-0.42686
0.39186,-0.13146,-0.42994002
0.39900002,-0.1211,-0.4298
0.39872,-0.10276,-0.4305
0.39872,-0.11144,-0.42756
0.39144,-0.07196,-0.44856
0.39914,-0.0623,-0.45248002
0.39578,-0.077700004,-0.44968
0.40292,-0.09492,-0.43036002
0.40264,-0.09576,-0.43722
0.39592,-0.07168,-0.43764
0.39774,-0.070420004,-0.43708003
0.40936002,-0.06944,-0.43904
0.41874,-0.066920005,-0.41804
0.43498,-0.07,-0.41594002
