x,y,z
-0.058621,-0.091012,1.006195
-0.139019,-0.23076299,1.165344
-0.077165,0.002867,0.923418
-0.083082,-0.033367,0.862174
-0.252601,-0.067588,0.785985
-0.021472,-0.299144,1.183156
-0.138592,-0.337818,1.1519849
-0.08113,-0.177205,0.99735
-0.18647699,-0.236131,0.889685
0.027206,-0.159759,0.968619
-0.079665996,-0.255102,1.023519
-0.140666,-0.12724599,0.99917996
-0.155367,-0.168604,0.883707
-0.228689,-0.053863,1.039562
-0.095587,0.044225,1.1134939
-0.165188,-0.148718,1.098183
-0.128344,-0.169275,0.862723
-0.137738,-0.16104,1.060485
-0.006283,-0.120414,1.11447
-0.094000995,-0.184525,1.073234
-0.159881,-0.098881,0.928115
-0.095221,-0.20465499,0.94116896
-0.054412,-0.238022,0.806847
-0.022021,-0.189588,0.90463
-0.22655399,-0.173179,1.025898
-0.360205,-0.349469,1.147593
-0.242414,-0.13542,1.1647949
-0.123952,-0.025803,0.888892
-0.018178,-0.29353198,1.0694519
-0.104127,-0.074969,1.030046
-0.167323,-0.07503,1.002901
-0.073078,-0.172996,1.0454789
-0.004636,-0.245464,0.937997
-0.004636,-0.245464,0.937997
-0.180682,-0.120353,0.935313
-0.251137,0.017995,1.00467
-0.12620899,0.010004,1.070184
-0.13505399,-0.153964,1.034865
-0.115351,-0.29115298,0.93208
-0.154696,-0.242109,0.83997
-0.21362199,-0.175009,1.010404
0.017811999,-0.195871,1.168882
-0.079238996,-0.16171099,0.824049
-0.039467,-0.305,0.78323996
-0.147376,-0.231678,0.96007895
-0.378993,-0.493673,1.277401
-0.28401598,-0.202825,1.168089
-0.075457,-0.008845,0.92762697
-0.21905099,-0.002989,0.832528
-0.231068,0.018726999,0.824537
0.064477,-0.310551,1.077992
-0.116815,-0.22923799,1.102453
-0.23241,-0.176778,0.886391
-0.119986996,-0.186111,1.096231
-0.15286599,-0.085888,0.927261
-0.254309,0.049714997,0.947696
-0.115655996,-0.25681,0.923601
-0.150914,-0.36752498,0.936899
-0.257298,-0.267973,0.86516297
-0.211487,-0.219173,1.0675
-0.169641,-0.212707,1.079151
-0.19971399,-0.23704599,1.052189
-0.059841,-0.291763,0.708088
-0.044347,-0.244061,0.95647997
-0.380274,-0.119255,1.1979179
-0.05612,0.048373,1.00833
-0.089121,-0.016348,0.94672
-0.203862,-0.002318,0.824476
-0.07076,-0.169092,1.036695
-0.152744,-0.233203,1.008574
-0.172691,-0.199104,0.88315797
-0.231678,0.046177,1.0028399
-0.122793,0.103029,1.0229089
-0.038796,-0.26669198,0.93567896
-0.255407,-0.221369,0.891332
-0.137616,-0.120901994,1.146007
-0.056851998,-0.181963,1.166137
-0.023241,-0.16591999,0.709491
0.038674,-0.299876,0.831796
-0.156343,-0.117303,1.091046
-0.243756,0.04636,0.90707
-0.185074,0.009211,0.80940896
0.045018,-0.31622398,1.078175
-0.171776,-0.366061,1.070672
-0.166164,-0.15609899,1.0254099
-0.077592,-0.128466,0.85820895
-0.130357,-0.20837599,1.086349
-0.199592,0.043005,1.096841
-0.18056,0.029158,1.078907
-0.065818995,-0.20752199,0.97880596
-0.12932,-0.301706,0.906277
-0.17812,-0.197762,0.844728
-0.221247,-0.17189799,0.981673
0.058194,-0.131394,1.18889
-0.13419999,-0.143289,1.0953159
-0.185501,-0.11468,0.998814
-0.072528996,-0.203557,0.773907
0.003355,-0.113399,0.80910397
-0.400404,-0.30676898,1.23159
-0.116997994,-0.071065,1.067988
-0.19580999,0.027816,0.90981495
-0.055997998,-0.073322,1.032364
-0.071858,-0.30805,1.144177
-0.083326,-0.19446799,1.025288
-0.120963,-0.161772,1.02419
-0.198616,-0.105468996,0.982283
-0.253699,-0.001647,1.017297
-0.14457,-0.021777,1.0504199
-0.165981,-0.305305,0.89773697
-0.195871,-0.222528,0.878339
-0.166347,-0.13096699,1.099403
-0.159576,-0.238144,0.969107
-0.096685,-0.167262,0.901946
-0.120841,-0.053436,0.893162
0.013542,-0.272426,0.930677
-0.28334498,-0.226249,1.037061
-0.33855,-0.313723,1.217194
-0.302255,-0.103029,1.102514
-0.089365,0.061122,1.0181509
-0.201178,0.104554,0.868335
-0.184586,-7.32E-4,0.836798
-0.130723,-0.039284,0.909693
0.04636,-0.294569,1.105076
-0.173667,-0.231861,1.036085
-0.135115,-0.25375998,1.027179
-0.22569999,-0.109922,1.025044
-0.289506,0.037942,0.89804196
-0.155794,-0.047519,1.001437
-0.094367,-0.190991,1.018029
-0.193248,-0.34709,0.913414
