x,y,z
-5.24125,9.26625,-31.84125
-38.395,17.38625,-28.5425
-26.4775,8.68,-30.5725
-19.5475,11.80375,-28.3675
-9.52,13.335,-28.6125
6.60625,11.3575,-32.1475
6.20375,-5.9587502,-28.2975
-15.23375,0.6125,-28.77
-6.3,0.77875,-15.5225
-17.9025,2.59875,-21.428751
-20.86875,3.47375,-26.4775
-13.81625,-20.475,-24.80625
-7.245,-13.265,-26.1975
35.4375,-5.6525,-22.741251
37.7475,-8.96,-17.15
16.695,-3.26375,-21.77
6.125,0.79625,-23.66875
8.72375,9.16125,-21.27125
-13.60625,11.83875,-19.775
-13.57125,7.44625,-19.53
13.93875,3.61375,-19.64375
14.67375,7.21,-27.39625
-7.18375,1.60125,-24.0975
0.81375,0.27125,-26.5475
13.895,-10.66625,-21.76125
1.39125,1.4175,-31.745
-24.01,3.78,-29.35625
-26.845,15.61875,-27.36125
-8.51375,11.6375,-32.85625
-1.3125,-5.36375,-33.24125
-15.6975,1.4175,-33.18
-4.92625,1.3475,-22.295
-18.2175,-1.26875,-32.06
-4.19125,-17.9375,-25.865
-8.21625,-18.55875,-22.7325
42.201252,-10.80625,-19.45125
21.44625,-7.69125,-22.61
-1.77625,1.28625,-27.25625
-1.1025,13.90375,-22.505
-11.47125,17.33375,-19.95
-5.81875,1.44375,-22.33875
14.035,1.19875,-14.84875
14.455,-3.82375,-25.305
17.42125,4.5325,-23.73875
6.0725,2.45,-26.25
11.27875,-1.68875,-25.73375
15.1725,-14.35875,-18.19125
8.61,-26.74,-26.880001
-5.99375,-12.32875,-47.9675
-16.21375,13.0375,-23.98375
-30.598751,16.397501,-22.19
-19.88875,14.07,-20.895
-5.705,18.59375,-20.991251
3.01,7.0875,-25.06875
0.21000001,-3.185,-27.62375
-14.4725,1.53125,-17.43875
3.3075001,6.405,-21.84
-16.73,1.25125,-29.37375
-17.0625,-1.00625,-34.09875
-1.295,-25.585001,-31.71875
58.31875,-7.63875,-27.9125
39.7425,-5.48625,-20.74625
13.29125,6.3875,-34.7725
-2.72125,16.38,-28.3325
7.35,-1.715,-26.50375
10.21125,-0.74375,-29.49625
11.13,5.145,-32.76
7.42,16.24875,-35.53375
12.6175,-4.2875,-39.2875
-33.90625,6.72875,-30.616251
-48.04625,9.8,-34.265
-3.5525,13.4225,-25.0425
12.32875,16.5025,-21.58625
10.57875,0.0,-15.09375
12.78375,-8.6275,-21.9625
-6.1775002,-6.41375,-15.54
-5.32,-3.10625,-13.83375
-20.4925,2.3275,-21.79625
-13.85125,5.66125,-27.991251
-12.45125,-4.0425,-30.79125
24.0975,-10.115,-27.536251
47.5475,-10.07125,-20.58
23.91375,-5.5825,-21.1225
0.97125,20.57125,-24.22875
-10.535,18.71625,-16.12625
0.84875,2.2575,-18.75125
5.915,3.50875,-27.32625
-7.09625,10.8237505,-33.705
6.36125,2.24,-27.16875
-3.255,-36.21625,-57.015
-5.99375,0.71750003,-42.875
-35.7525,19.241251,-17.9375
-38.33375,10.96375,-27.0375
-31.045,13.57125,-27.06375
0.67375,13.92125,-28.48125
11.17375,11.9875,-32.1125
-13.55375,1.02375,-34.4575
