x,y,z
0.106680006,0.077980004,-0.42616
0.087220006,0.073920004,-0.41258
0.09226,0.07756,-0.43092
0.0952,0.06244,-0.42616
0.09212,0.05852,-0.42868
0.10626,0.08162,-0.42574
0.101220004,0.07238,-0.42798
0.10304,0.05936,-0.42728
0.10304,0.05936,-0.43386
0.106680006,0.049000002,-0.42672002
0.1071,0.05208,-0.43106002
0.10752,0.044660002,-0.42602003
0.09114,0.05488,-0.42266002
0.08246,0.049000002,-0.41538
0.08022,0.06958,-0.4158
0.07966,0.075320005,-0.41860002
0.0847,0.08946,-0.41132
0.08624,0.09058,-0.41748002
0.081480004,0.112,-0.42084002
0.07952,0.109620005,-0.41552
0.0798,0.12656,-0.41034
0.077980004,0.11592,-0.40894002
0.078540005,0.13916,-0.40712002
0.07728,0.13328001,-0.40726
0.06566,0.14686,-0.40194002
0.052640002,0.12642,-0.38570002
0.049000002,0.12292001,-0.3906
0.056140002,0.102900006,-0.40712002
0.0595,0.13692,-0.40656
0.061460003,0.14266,-0.39970002
0.06538,0.12502,-0.40418002
0.06622,0.13188,-0.39522
0.07028,0.14294,-0.40292
0.07028,0.14294,-0.40292
0.05488,0.15470001,-0.38878
0.04676,0.14966,-0.38654
0.053060003,0.16492,-0.38962
0.053200003,0.18256001,-0.38766
0.05516,0.17864001,-0.38752002
0.06566,0.19264,-0.3892
0.074200004,0.19768001,-0.38682002
0.071540006,0.224,-0.38402
0.0721,0.22666001,-0.3794
0.075320005,0.24136001,-0.37016
0.0749,0.24444,-0.37002
0.05866,0.23142001,-0.35868
0.05152,0.21406001,-0.36232
0.063,0.21938,-0.37464002
0.07238,0.21868001,-0.38682002
0.07686,0.21378,-0.38542002
0.0833,0.21588,-0.38570002
0.0833,0.21462001,-0.38766
0.086100005,0.21966,-0.3899
0.09408,0.20384,-0.3892
0.093380004,0.2184,-0.39704
0.074760005,0.21882,-0.37632
0.08414,0.25228,-0.37100002
0.08358,0.27552,-0.36792
0.099400006,0.26726002,-0.36526
0.104720004,0.27468002,-0.3745
0.113960005,0.2786,-0.37506002
0.11522,0.28910002,-0.37884
0.116340004,0.30842,-0.37156
0.117460005,0.28924,-0.37156
0.100940004,0.27986002,-0.37870002
0.109060004,0.26572,-0.38416
0.112,0.27580002,-0.38822
0.121240005,0.2681,-0.3962
0.15008001,0.25732002,-0.40096
0.15540001,0.25914,-0.40502
0.15316,0.25620002,-0.41006002
0.14742,0.25662002,-0.40628
0.14490001,0.26950002,-0.39942002
0.15372,0.29680002,-0.40012002
0.1666,0.30618,-0.3878
0.17318,0.31304002,-0.39564002
0.17794001,0.31052002,-0.38948002
0.18186,0.32032,-0.39326
0.17752,0.33124,-0.38402
0.15708001,0.2926,-0.39004
0.16184,0.28980002,-0.40516
0.168,0.28084,-0.40978003
0.18676001,0.3052,-0.40530002
0.19096,0.30044,-0.41062
0.19502,0.28854,-0.41244
0.20048,0.29064,-0.41104
0.20272,0.28672,-0.4151
0.1946,0.29456002,-0.41636002
0.19166,0.2884,-0.40684
0.19992,0.30814,-0.40670002
0.20580001,0.32088,-0.40082002
0.2142,0.32536,-0.40208
0.22498001,0.33404002,-0.40446
0.22960001,0.31962,-0.40670002
0.22792001,0.34370002,-0.40544
0.23184,0.322,-0.40362
0.2394,0.33824,-0.3969
0.24444,0.33796,-0.39704
0.22176,0.32872,-0.39844
